Employee_ID,Department,Experience_Years,Salary_USD,Performance_Rating
E101,Engineering,2.5,65000.0,4.2
E102,Data Science,4.0,85000.0,4.7
E103,Marketing,3.0,58000.0,3.9
E104,Engineering,6.5,110000.0,4.8
E105,Sales,1.5,48000.0,3.5
E106,Data Science,5.0,98000.0,4.9
E107,Human Resources,3.5,55000.0,4.0
E108,Engineering,8.0,135000.0,4.9
E109,Marketing,5.0,72000.0,4.3
E110,Sales,4.5,68000.0,4.1
E111,Data Science,2.0,70000.0,4.4
E112,Human Resources,7.0,78000.0,4.6
E113,Engineering,1.0,58000.0,3.8
E114,Product Management,5.5,105000.0,4.7
E115,Product Management,3.0,80000.0,4.2
